Gene_Name	J2C	J2N	J3C	J3N	J5C	J5N	J7C	J7N	J8C	J8N	J9C	J9N	J11S	J11N	J13M	J13N	J14M	J14N	J15M	J15N	J16M	J16N	J17H	J17N	J18M	J18N	J19H	J19S	J19N	J20S	J20N	J21H	J21M	J21N	J22M	J22N	J23M	J23N	J24H	J24N	J25S	J25N	J26M	J26N	J27H1	J27H2	J27S	J27M	J27N	J30H	J30N	J31S	J31N	J32H	J32M	J32N	J33M	J33N	J34M	J34N	J35M	J35N	J36S	J36N	J38H	J38S	J38N	J39M	J39N	J40S	J40M	J40N	J41M	J41N	J42S	J42N	J43S	J43M	J43N	J44M	J44N	J45M	J45N	J46M	J46N
CHIT1	8.911089121	8.292270682	9.534222043	10.25340278	10.34929821	13.79306498	6.527269402	8.467023474	7.724439954	9.582316745	8.698764602	6.910508537	5.898545246	5.857810716	7.75096374	5.991211382	10.00492686	7.843432445	10.75312709	9.942819747	8.05815283	8.373312109	7.113328544	8.083978185	10.27902378	8.062017861	5.249865172	8.525755227	10.01568352	9.774848229	8.772969606	7.144411825	8.918716675	7.191408254	9.567803213	8.397172411	8.165952304	5.62669639	5.655017833	5.839515753	8.271947069	4.85723458	6.098449486	5.390492454	6.040561102	8.495465803	6.992425188	6.16835216	6.926241627	7.15911448	7.34103374	10.54491925	10.47702929	9.76525235	11.29892876	9.484706632	10.03816306	7.571979218	11.85161	10.07014235	9.373855064	9.31821918	8.203753793	9.107085961	6.767072252	8.631655189	10.96954473	5.189725741	6.372673351	14.16991115	11.80679399	12.78317582	10.04757302	8.319993544	10.53051944	9.756499535	10.60319382	9.908608676	8.572291488	9.419304874	9.018413815	10.18163444	12.10524298	8.980170186	7.588121197
CHUK	8.404042152	8.541488013	8.622048768	9.073696248	8.86273771	8.645888057	9.206871915	8.529531416	10.55813709	8.902819405	8.38404518	8.688101452	8.187323203	8.182619886	8.429735506	8.491729288	9.235080946	8.650257238	8.82610467	8.421198248	8.441470536	8.525755227	8.343643906	8.551432246	8.173752972	8.441470536	8.555113369	8.751970381	8.501537718	8.529531416	8.231930866	8.348273421	8.348273421	8.356393802	8.617987758	8.483476076	8.108798234	8.392749798	8.5624973	8.584879084	8.239114879	8.283129153	8.911089121	8.662955903	8.802169747	8.558785122	8.759639749	8.734182987	8.413129719	8.413129719	8.626859974	8.631655189	8.59766374	8.425473192	8.56619995	8.659161318	8.248267582	8.268645032	8.388313587	8.518358564	8.817866663	8.124620468	8.510549907	8.79791083	8.572291488	8.376541715	8.214917517	8.734182987	8.498504954	8.300212539	8.724059844	7.898681997	8.711385101	8.437619323	8.136289301	8.425473192	9.008064734	9.363834649	8.421198248	8.429735506	8.569248934	8.348273421	8.338999487	8.926946131	8.462955493
CKLF	9.215351561	8.691856907	10.02691793	9.156426233	9.451640176	8.738181148	9.572125659	8.631655189	9.152286352	9.073696248	6.606037651	8.650257238	8.56619995	8.487983072	9.089707728	8.872603797	9.148134556	9.053242277	10.50236075	8.698764602	9.322876833	9.080561546	8.671561285	8.584879084	10.01568352	9.354793262	9.284413771	8.666740533	8.926946131	9.156426233	8.676365982	9.451640176	9.621121501	9.231376633	9.952818021	8.778072044	9.27466241	8.858908292	9.198731798	8.918716675	9.507093317	9.238775773	8.817866663	9.045300398	9.053242277	9.222453663	9.222453663	9.247572672	9.107085961	9.143990359	8.99697209	8.445311496	8.645888057	8.767849059	9.17361706	8.558785122	9.401398402	8.935057329	9.559069867	9.097764718	9.139834224	9.053242277	9.206871915	8.691856907	8.759639749	8.955510841	7.883406986	9.419304874	8.498504954	9.310678505	9.30246322	8.525755227	9.703742936	8.551432246	9.181731444	8.83052992	9.211117968	9.29326444	8.858908292	9.44326401	8.926946131	10.03816306	9.064109831	9.427638346	8.533297746
CLEC4A	7.69312018	7.648708957	7.644309537	7.360871116	7.622648024	8.211374403	7.839478261	7.245562892	9.073696248	8.458478631	9.779727855	7.540844848	7.524099506	7.405203778	7.921330556	7.401505322	8.59766374	8.099705356	7.113328544	7.405203778	8.421198248	7.771898937	7.437382522	7.546276673	8.136289301	7.964230834	7.86244069	7.960735647	7.395575447	8.376541715	7.113328544	7.618294599	8.099705356	7.644309537	7.71918018	7.588121197	7.335139355	7.498360107	7.75096374	7.804244748	7.360871116	7.170669057	7.640334897	7.71918018	8.128719814	8.030169864	8.092560843	8.654716148	7.804244748	7.847375821	7.729680622	9.345585566	7.622648024	7.419248935	7.788085954	8.255831156	7.982771913	7.710931039	8.177901186	8.011198297	7.974987429	7.618294599	7.867365531	7.640334897	7.179576213	7.379417565	7.932519193	8.631655189	8.214917517	7.939874411	7.648708957	8.190311492	7.908384757	8.080224926	8.445311496	7.515028639	7.921330556	8.007697418	7.82184306	8.021326372	7.952637258	8.046912862	7.631676407	8.308922427	8.099705356
CLEC4C	4.933597928	5.258009599	4.848193689	4.495489597	4.535545706	6.583950434	5.223142097	5.505182063	4.321928095	5.182328135	6.606037651	4.549727837	5.3383947	4.541174073	4.5974354	4.562471405	4.517058178	4.536200952	4.571958457	5.160200386	5.942138842	5.59269195	4.76513689	5.47167715	4.537514251	5.230301843	4.523386462	5.243659108	4.531500288	5.330946747	5.130369536	6.002051483	5.3383947	5.418868592	4.5293599	5.449793237	5.580479323	5.223142097	5.655017833	5.770954864	5.217410765	4.85723458	4.534890162	4.514697149	4.605553595	5.197085608	4.536200952	4.533637504	4.832368645	4.484414377	4.896052676	5.59269195	4.692955847	4.488563209	4.522396576	5.513464426	4.534263969	5.0862879	4.877890288	5.258009599	5.024485382	4.848193689	4.615971125	4.993792953	4.681201593	4.487618034	4.326087018	5.634036566	4.348268678	5.173451093	4.793552219	4.351566075	5.237426232	4.321928095	4.524375669	4.730310004	4.544003972	5.7565182	5.920987958	4.85723458	5.002407848	4.524375669	5.258009599	4.547401353	5.317024914
CLEC5A	6.367023614	5.402606059	7.049417491	6.767072252	6.026344272	5.010971606	8.973586677	5.948751009	4.423266011	6.040561102	5.744148278	5.513464426	5.674641227	5.54627897	7.185504363	6.226455775	6.502443511	6.354446703	6.512795008	6.16835216	7.32922079	5.984274677	6.21314126	5.996641613	7.266719624	6.155504943	5.76375459	5.462196475	5.967182334	8.319993544	6.071357649	7.044922282	7.669744741	6.46057486	8.207822566	6.012281332	5.539413643	5.559500918	6.481351613	6.208009019	5.791001598	4.85723458	7.235358946	6.385154691	8.018012352	7.925338964	8.054277416	8.364948606	7.319624815	6.996550156	6.136970368	8.364948606	6.895614951	6.988288392	7.575736869	7.001531514	7.622648024	6.367023614	8.068622832	7.457361334	7.948027865	4.626877135	7.097100324	6.026344272	6.058567758	5.496851876	4.381851913	8.413129719	4.536200952	6.208009019	6.143067318	4.41959507	7.606950654	4.562471405	8.356393802	5.898545246	6.293160687	6.345432705	6.762226991	7.800206574	6.40940508	7.031839022	5.839515753	6.397975068	6.56591627
CLEC6A	5.36775379	5.130369536	4.517058178	4.76884281	5.0862879	4.454759504	5.600086352	5.243659108	4.547999845	5.519658716	8.980170186	4.549727837	4.544003972	4.541174073	4.5974354	4.562471405	4.517058178	4.536200952	4.571958457	4.541174073	4.519729846	4.527477006	4.460828358	4.553195913	4.537514251	4.551120464	4.523386462	4.493119669	4.531500288	4.522396576	4.537514251	4.848193689	4.497855638	4.523386462	4.5293599	4.535545706	5.066191724	4.803934284	5.443233664	5.59269195	4.519729846	4.85723458	4.534890162	4.514697149	4.605553595	4.524983788	5.130369536	4.533637504	4.522396576	5.664015465	5.182328135	4.725296461	4.980019858	5.3383947	5.330946747	4.517058178	4.534263969	5.010971606	4.877890288	4.887223517	4.517058178	5.060469488	4.973387142	4.488563209	4.472151196	4.973387142	6.226455775	4.533637504	6.69538408	4.887223517	4.50347368	5.920987958	4.534890162	6.16835216	4.524375669	4.803934284	4.544003972	4.543517978	4.696590042	4.489507766	4.891644851	4.524375669	4.519729846	4.547401353	5.217410765
CLEC7A	7.826324136	7.754994842	7.826324136	7.997902933	6.058567758	6.293160687	6.958390451	6.735738137	4.730310004	9.008064734	4.321928095	7.804244748	7.886560671	7.813904082	7.867365531	7.894201715	7.297177221	8.458478631	6.349946744	7.830791338	7.826324136	8.136289301	6.616232002	7.710931039	7.943956898	7.936201489	7.636349277	7.835141338	7.519571202	8.348273421	7.606950654	7.91731098	8.143458836	8.068622832	7.640334897	7.395575447	7.179576213	8.062017861	8.533297746	8.707632344	7.281995139	7.957231971	7.575736869	7.800206574	8.15865717	8.117205855	8.092560843	8.688101452	8.065324126	8.392749798	8.223388646	8.467023474	8.182619886	8.001366639	8.328053237	8.050599838	7.883406986	8.143458836	8.092560843	8.108798234	8.068622832	8.132807545	9.008064734	8.569248934	7.59749925	7.710931039	8.193293605	9.073696248	8.680356593	8.03937735	7.546276673	8.319993544	7.515028639	8.47502286	8.151079376	7.663726667	7.957231971	7.847375821	8.437619323	8.258741838	8.778072044	7.515028639	7.99443089	7.144411825	8.631655189
CLU	4.466083261	4.920196872	4.517058178	4.495489597	4.535545706	4.454759504	4.531500288	4.491314848	4.730310004	4.488563209	4.786496794	4.549727837	4.544003972	4.541174073	4.5974354	4.562471405	4.517058178	4.536200952	4.571958457	4.541174073	4.519729846	4.527477006	4.460828358	4.553195913	4.537514251	5.308906721	4.523386462	4.811122352	4.531500288	4.522396576	5.073391816	4.493119669	4.497855638	4.523386462	4.5293599	4.535545706	4.533637504	4.497855638	5.283780698	4.524375669	4.519729846	4.85723458	4.534890162	4.514697149	4.605553595	4.524983788	4.536200952	4.533637504	4.522396576	4.484414377	4.50347368	4.449376644	4.4813074	4.488563209	4.522396576	4.517058178	4.534263969	4.464147013	4.493119669	4.733399537	5.559500918	5.863920756	4.446736733	4.488563209	4.933597928	4.487618034	6.432766574	5.017744317	6.63344332	4.497855638	4.50347368	6.322681449	4.534890162	6.064532352	4.524375669	4.825609991	4.544003972	4.543517978	4.485035738	4.489507766	4.510702012	4.524375669	4.929824806	4.547401353	4.497855638
CMA1	5.160200386	5.36775379	4.517058178	5.044714162	5.164519092	4.88256445	4.531500288	4.491314848	4.730310004	5.519658716	6.606037651	4.549727837	6.512795008	6.63344332	4.5974354	4.562471405	7.472231478	7.035818947	4.571958457	4.541174073	6.555487515	7.540844848	6.21314126	4.553195913	4.537514251	4.551120464	6.414840242	5.243659108	5.967182334	5.330946747	4.537514251	5.505182063	5.283780698	5.7565182	5.100950124	4.535545706	6.40940508	6.149299534	5.920987958	5.93549623	5.47167715	4.85723458	5.62669639	5.217410765	4.605553595	4.524983788	5.130369536	4.533637504	4.522396576	5.81007581	5.972252274	5.62669639	6.616232002	7.065457168	5.513464426	6.058567758	4.534263969	4.464147013	4.493119669	4.966723791	4.820288392	5.237426232	4.641800603	5.258009599	4.76884281	6.63344332	4.43206858	6.316713602	4.372380039	5.81007581	5.119968732	4.351566075	5.928260332	4.488563209	5.211656574	4.730310004	6.078150808	5.7565182	6.438304735	6.339281634	5.914667023	5.258009599	5.258009599	4.547401353	5.100950124
CMKLR1	8.926946131	9.76525235	8.258741838	8.622048768	8.569248934	8.944365558	8.935057329	8.759639749	8.128719814	9.798885059	7.211941585	9.181731444	9.169170568	9.115621814	8.429735506	9.471877066	8.867679188	9.327519497	7.86244069	9.169170568	9.089707728	9.813660962	7.85749898	8.838957393	9.467039733	10.17013207	9.60693006	8.572291488	9.850689345	8.441470536	9.135987875	9.243180927	8.850923702	9.427638346	8.59766374	9.139834224	8.529531416	9.027959297	8.872603797	9.049276802	8.613915284	9.549267838	8.155002502	9.31821918	8.82610467	9.102432868	8.707632344	9.013248554	9.25720654	8.453987834	8.846766779	7.696967526	8.817866663	8.214917517	8.429735506	8.471080016	8.680356593	9.503202716	8.453987834	8.772969606	8.338999487	9.27466241	8.617987758	9.115621814	8.86273771	8.698764602	9.419304874	9.222453663	9.677827217	9.411262043	8.676365982	9.582316745	8.478954957	9.354793262	8.113008169	9.401398402	9.045300398	8.789774656	9.476698234	8.304574056	8.666740533	8.959591123	9.681833345	7.800206574	8.838957393
COL3A1	11.99435647	11.18430369	14.89465569	12.73611831	13.79306498	11.36252449	15.29442496	11.23758664	14.41883985	11.55291098	12.78317582	10.2335614	10.96954473	11.01187109	12.55936964	11.58855648	13.79306498	11.62113595	11.62113595	10.75312709	14.06149754	13.07588282	11.77043928	10.67635055	13.35634133	12.73611831	12.10524298	13.07588282	11.44939273	13.35634133	12.13928799	11.08371612	13.14681643	11.0373886	11.70548644	10.00492686	14.16991115	10.73634998	11.77043928	11.70548644	11.88183074	10.85567803	12.55936964	12.17896434	11.85161	11.39092979	12.95190579	11.74055955	11.21013433	13.43943594	13.14681643	11.85161	10.89505552	11.39092979	14.16991115	10.83967059	13.35634133	10.89505552	12.29093739	10.93111589	12.10524298	11.41631725	12.2136593	9.655086641	11.4817422	12.95190579	11.62113595	13.07588282	12.03182073	12.03182073	12.89921626	11.4817422	12.95190579	11.0373886	11.58855648	11.01187109	12.29093739	12.8378209	10.95092217	13.52110459	12.24973124	15.29442496	11.01187109	13.52110459	10.64576596
COLEC12	8.187323203	8.589013047	8.425473192	8.613915284	7.800206574	7.255677193	8.283129153	8.518358564	6.071357649	8.789774656	5.744148278	8.4336828	8.054277416	8.162302604	8.759639749	9.58780151	8.659161318	8.793848479	7.579484758	8.501537718	9.120109484	8.719600894	8.81405749	8.751970381	8.79791083	9.107085961	8.944365558	9.041020898	8.541488013	10.04757302	9.053242277	9.073696248	9.572125659	9.036728665	9.148134556	8.331964596	8.143458836	8.81405749	9.363834649	8.926946131	9.041020898	8.328053237	8.676365982	8.806416129	9.027959297	9.115621814	9.621121501	9.279546329	8.83052992	9.17361706	8.911089121	9.041020898	9.07713298	9.29326444	9.484706632	8.59766374	9.4343043	8.589013047	9.139834224	9.032350644	8.421198248	8.379764107	8.99697209	8.569248934	8.850923702	10.58826054	8.541488013	9.888302213	8.926946131	8.572291488	8.046912862	8.59766374	8.698764602	8.734182987	9.383773453	8.413129719	7.644309537	8.001366639	8.555113369	9.135987875	8.855068682	7.754994842	8.348273421	8.56619995	8.498504954
CR1	7.266719624	6.831281604	7.826324136	7.369977404	6.895614951	8.169592795	7.684377945	6.757077235	6.790004763	7.970405864	8.080224926	7.027848088	7.384528351	7.261208973	6.322681449	6.63344332	7.843432445	6.926241627	7.49265008	6.705216015	7.498360107	7.395575447	9.089707728	7.510769347	7.817879032	6.658810781	7.758622982	8.211374403	7.149339459	8.034780953	6.555487515	7.804244748	8.304574056	7.886560671	8.60530401	7.746921344	6.96971131	6.595241494	7.035818947	6.988288392	7.990212717	7.217900014	7.467496868	7.34103374	7.839478261	8.4336828	8.117205855	8.261646661	7.936201489	7.792127154	7.867365531	9.177679957	7.979554491	7.583809441	7.715061505	8.772969606	7.592817844	7.779219065	8.099705356	7.567507058	7.788085954	7.457361334	8.445311496	7.524099506	6.549835081	7.29217042	8.789774656	8.449656187	9.181731444	8.062017861	7.29217042	8.715128121	7.462438002	8.763750243	8.199673513	7.360871116	7.175129509	7.82184306	7.335139355	8.271947069	6.943022682	7.446382279	7.079783172	6.870474811	7.889707477
CR2	4.848193689	4.517058178	7.462438002	5.100950124	5.559500918	7.32922079	5.109848062	4.491314848	5.100950124	4.76513689	9.593265501	4.549727837	4.544003972	4.541174073	4.5974354	4.562471405	6.367023614	4.536200952	7.729680622	4.541174073	4.848193689	4.527477006	9.008064734	4.553195913	5.160200386	4.551120464	6.007175475	7.606950654	4.531500288	5.266108306	4.537514251	4.493119669	5.155868712	4.523386462	6.007175475	4.535545706	7.27178148	4.497855638	4.4813074	4.524375669	7.319624815	4.85723458	6.735738137	4.514697149	4.605553595	4.524983788	4.536200952	4.533637504	4.522396576	5.237426232	4.50347368	4.449376644	4.4813074	4.488563209	4.522396576	4.517058178	5.41076024	4.464147013	4.493119669	4.478193717	4.517058178	4.428699145	4.891644851	4.488563209	5.977304459	5.360351734	4.321928095	4.533637504	4.321928095	4.497855638	5.967182334	4.321928095	5.619318678	4.321928095	5.080556153	4.472151196	4.544003972	4.543517978	4.485035738	6.714606964	4.510702012	6.185701392	4.519729846	4.547401353	4.497855638
CREB1	9.120109484	9.630136221	8.918716675	9.226922046	9.534222043	9.156426233	9.391564289	9.132131244	8.054277416	9.156426233	9.593265501	9.419304874	9.310678505	9.279546329	8.911089121	9.383773453	8.004535501	9.143990359	9.327519497	9.036728665	8.99697209	9.284413771	8.959591123	9.484706632	9.080561546	9.493000737	9.493000737	8.855068682	9.411262043	9.373855064	9.451640176	9.44326401	9.30246322	9.611758828	8.872603797	9.222453663	9.238775773	9.27466241	9.530012386	9.451640176	9.068911002	9.76525235	9.132131244	9.642517534	9.215351561	9.401398402	9.177679957	9.215351561	9.582316745	8.918716675	9.132131244	8.676365982	9.053242277	8.99697209	9.1113602	9.027959297	9.31821918	9.29326444	8.767849059	9.181731444	9.07713298	9.345585566	9.247572672	9.391564289	9.139834224	8.93100743	9.582316745	9.206871915	9.63846048	9.297871162	9.238775773	9.693687733	9.554658509	9.64656321	8.79791083	9.124583238	9.270151384	9.080561546	9.363834649	9.156426233	9.363834649	9.222453663	9.206871915	8.84286737	9.102432868
CREB5	8.011198297	8.650257238	7.883406986	8.935057329	8.850923702	8.113008169	6.741285595	8.190311492	8.631655189	7.612633776	10.86664797	9.164710329	9.64656321	9.458822316	8.806416129	9.215351561	8.235527344	8.510549907	8.525755227	8.641505603	8.271947069	8.397172411	7.389621097	9.602085075	7.059689528	8.03937735	8.308922427	8.117205855	8.243698489	7.948027865	9.164710329	7.754994842	7.423725223	7.886560671	8.050599838	8.922837271	7.675737815	8.572291488	7.925338964	8.458478631	6.862415966	8.304574056	8.453987834	8.688101452	8.187323203	7.733331338	7.839478261	7.979554491	7.921330556	7.91731098	8.083978185	8.467023474	9.064109831	8.821665804	8.275241565	9.143990359	7.441889418	8.514459519	7.571979218	8.79791083	7.205733332	8.324131245	7.875444393	8.551432246	8.976882187	7.710931039	9.198731798	7.457361334	8.734182987	7.179576213	7.546276673	8.162302604	7.970405864	9.115621814	8.004535501	9.215351561	7.32922079	6.943022682	7.35566362	7.567507058	8.911089121	6.450470927	7.952637258	8.030169864	9.642517534
CREBBP	5.908318272	6.064532352	5.317024914	6.012281332	6.197165197	5.160200386	5.443233664	5.851674689	4.730310004	5.613393082	8.698764602	6.17993041	5.785226695	5.54627897	6.669673887	6.522544169	5.353096403	6.149299534	5.851674689	5.93549623	5.750346497	5.984274677	5.717549135	6.16835216	5.898545246	6.085203073	6.085203073	5.553111782	6.226455775	5.725309447	5.967182334	5.505182063	5.778108427	5.59269195	5.634036566	5.957996105	6.002051483	6.098449486	5.920987958	5.770954864	5.539413643	4.85723458	5.870034394	6.304317637	6.276002513	6.002051483	6.118612364	6.16835216	6.019329937	5.283780698	5.655017833	5.778108427	5.957996105	6.161942852	6.052578401	5.034633917	6.202858456	6.104651167	6.026344272	6.136970368	6.226455775	6.040561102	6.590271585	6.75190903	5.778108427	5.857810716	4.587636449	5.803430021	4.622853675	6.208009019	5.81007581	4.564051474	6.675039625	4.608682537	5.725309447	5.539413643	6.293160687	6.271269588	5.750346497	5.54627897	6.266521085	5.62669639	6.026344272	5.733028238	5.996641613
CRP	4.466083261	4.517058178	4.517058178	4.495489597	4.535545706	4.454759504	4.531500288	4.491314848	4.547999845	4.488563209	5.744148278	4.549727837	4.544003972	4.541174073	4.5974354	4.562471405	4.517058178	4.536200952	4.571958457	4.541174073	4.519729846	4.527477006	4.460828358	4.553195913	4.537514251	4.551120464	4.523386462	4.493119669	4.531500288	4.522396576	4.537514251	4.493119669	4.497855638	4.523386462	4.5293599	4.535545706	4.533637504	4.497855638	4.4813074	4.524375669	4.519729846	4.85723458	4.534890162	4.514697149	4.605553595	4.524983788	4.536200952	4.533637504	4.522396576	4.484414377	4.50347368	4.449376644	4.4813074	4.488563209	4.522396576	4.517058178	4.534263969	4.464147013	4.493119669	4.478193717	4.517058178	4.428699145	4.446736733	4.488563209	4.472151196	4.487618034	6.071357649	4.533637504	6.831281604	4.497855638	4.50347368	5.600086352	4.534890162	5.59269195	4.524375669	4.472151196	4.544003972	4.543517978	4.485035738	4.489507766	4.510702012	4.524375669	4.519729846	4.547401353	4.497855638
CSF1	8.360677545	8.522061636	7.71918018	7.925338964	7.775563644	8.083978185	8.724059844	8.364948606	7.335139355	7.826324136	5.744148278	8.518358564	10.18163444	9.68582838	8.445311496	8.83052992	8.558785122	9.164710329	7.631676407	9.865182021	8.914907939	9.516791395	8.283129153	10.25340278	8.973586677	8.283129153	8.011198297	8.373312109	8.533297746	8.751970381	9.222453663	9.243180927	8.724059844	9.27466241	9.345585566	9.611758828	8.348273421	9.107085961	8.283129153	8.973586677	7.76707856	8.211374403	8.806416129	9.032350644	8.926946131	8.631655189	8.778072044	8.935057329	8.601488933	8.335486329	8.364948606	9.831054216	9.655086641	9.458822316	9.235080946	9.92934613	7.71918018	8.914907939	9.018413815	9.68582838	9.30246322	9.582316745	8.261646661	9.261422516	9.058686287	8.518358564	8.976882187	7.85244628	8.810241869	8.462955493	8.533297746	8.650257238	8.684336196	8.510549907	9.139834224	9.247572672	7.835141338	7.889707477	8.882216888	8.617987758	9.430975173	9.120109484	8.74216826	8.404042152	9.813660962
CSF1R	6.29788576	6.17993041	6.555487515	6.53197921	6.46057486	6.538082668	7.044922282	6.310720966	7.467496868	6.818989906	7.211941585	6.092221032	5.851674689	6.29788576	6.444400656	6.455531739	6.778656814	6.233106049	5.634036566	6.118612364	6.638685866	6.595241494	5.456008185	5.744148278	6.790004763	6.397975068	6.085203073	6.29788576	6.316713602	6.208009019	6.118612364	6.476038302	6.397975068	6.675039625	6.512795008	6.246136593	5.634036566	6.360748864	5.920987958	6.046582264	5.972252274	4.85723458	6.64861866	6.414840242	6.937491526	6.905702889	7.044922282	6.818989906	6.239725809	6.64861866	6.620593392	5.839515753	5.876122234	6.689520487	6.444400656	6.1741529	5.81007581	6.16835216	6.831281604	6.75190903	6.790004763	6.705216015	6.37830105	6.293160687	6.185701392	6.208009019	5.017744317	6.790004763	5.010971606	6.818989906	6.794613906	5.418868592	6.595241494	5.119968732	6.527269402	6.149299534	6.492017203	6.741285595	6.470705351	6.111648653	6.226455775	6.643909431	6.058567758	6.288420088	6.071357649
CSF2	5.857810716	5.706208199	5.160200386	4.495489597	4.535545706	4.956737071	4.531500288	4.782698737	4.730310004	4.937361208	4.321928095	4.549727837	4.544003972	5.217410765	7.626988352	5.3383947	4.517058178	5.496851876	4.571958457	5.565861884	5.750346497	4.527477006	5.109848062	5.908318272	5.230301843	4.551120464	4.523386462	4.811122352	4.531500288	5.914667023	5.402606059	5.43664413	5.402606059	4.956737071	5.189725741	4.535545706	5.173451093	4.980019858	5.160200386	5.034633917	4.519729846	4.85723458	5.230301843	4.514697149	6.56591627	5.308906721	5.130369536	6.304317637	5.634036566	4.484414377	4.848193689	6.019329937	4.760968591	4.488563209	6.492017203	5.396561971	6.345432705	4.920196872	6.288420088	4.803934284	5.024485382	4.772539235	5.972252274	4.488563209	4.472151196	5.7565182	4.572766985	5.505182063	4.593816154	4.497855638	4.50347368	4.579118356	5.928260332	4.555005375	5.488995411	5.034633917	5.402606059	6.271269588	4.485035738	6.092221032	5.002407848	4.986922842	5.462196475	5.59269195	5.353096403
CSF2RB	9.582316745	9.132131244	9.231376633	9.383773453	9.231376633	9.983811359	9.493000737	8.99697209	12.55936964	9.63846048	13.2181586	9.60693006	9.507093317	9.35019676	8.510549907	9.499301595	10.23989498	9.284413771	9.29326444	9.27466241	9.836668445	9.739872407	10.00492686	9.630136221	8.872603797	8.86273771	9.68582838	10.19904041	9.554658509	9.507093317	9.29326444	9.521297919	9.341490099	9.345585566	8.691856907	9.190084218	8.491729288	9.44326401	9.314453769	9.17361706	8.867679188	9.190084218	9.148134556	9.554658509	9.190084218	9.160574227	8.838957393	9.29326444	9.013248554	9.774848229	9.507093317	10.25340278	9.30246322	9.252397647	8.738181148	9.96712511	8.373312109	9.337382973	8.601488933	9.261422516	8.935057329	9.190084218	8.789774656	8.589013047	9.499301595	9.401398402	8.239114879	9.383773453	8.551432246	8.589013047	8.555113369	8.676365982	8.60530401	9.089707728	9.582316745	9.31821918	9.30246322	8.650257238	9.543856948	8.959591123	9.430975173	8.58073324	8.498504954	9.794536357	9.534222043
CSF3	5.634036566	6.17993041	4.848193689	6.46057486	5.308906721	6.1741529	4.531500288	6.818989906	4.730310004	4.488563209	4.786496794	5.565861884	5.402606059	5.613393082	4.5974354	6.1741529	5.002407848	6.943022682	4.571958457	6.486694264	4.519729846	4.527477006	5.173451093	7.419248935	4.537514251	4.551120464	4.523386462	4.493119669	5.324002624	6.239725809	6.937491526	6.502443511	5.664015465	6.354446703	5.817277586	6.988288392	4.533637504	4.497855638	4.4813074	5.249865172	4.519729846	4.85723458	6.019329937	5.898545246	4.605553595	4.524983788	4.536200952	5.044714162	4.522396576	5.029568573	4.956737071	7.579484758	8.211374403	7.663726667	7.053898737	8.525755227	4.534263969	4.653264791	6.226455775	6.669673887	5.914667023	4.772539235	5.928260332	7.149339459	5.091996965	4.487618034	4.638591062	4.533637504	4.509069929	5.613393082	5.024485382	4.5293599	4.534890162	4.464147013	6.019329937	5.664015465	4.544003972	4.543517978	6.304317637	5.43664413	6.316713602	4.524375669	5.62669639	6.226455775	7.688755684
CSF3R	9.52579041	10.13556822	9.027959297	9.774848229	9.29326444	9.419304874	10.44916744	9.92934613	8.364948606	10.20412525	8.080224926	9.942819747	10.1023471	10.08920407	8.054277416	9.521297919	8.275241565	10.29576893	7.612633776	10.29576893	9.190084218	9.52579041	10.25340278	10.58826054	8.789774656	8.902819405	9.31821918	8.759639749	9.396489725	10.14624484	9.152286352	10.66080569	10.71921339	10.46397411	9.115621814	10.43423541	7.979554491	10.03816306	10.50236075	10.17013207	9.027959297	10.06401012	9.735347693	9.279546329	11.39092979	10.67635055	10.73634998	11.01187109	10.73634998	9.942819747	10.44916744	10.66080569	10.18163444	9.952818021	10.76985063	10.57214269	8.872603797	10.2271999	10.08003564	10.25340278	10.48332869	9.44326401	10.17013207	10.15773129	9.784591031	11.06051886	9.027959297	10.60319382	9.813660962	9.744382975	8.724059844	9.831054216	8.83052992	10.14624484	10.08003564	10.01568352	11.10756411	8.695314889	10.2271999	8.397172411	10.02691793	7.970405864	9.724975432	8.356393802	10.66080569
CT45A1	4.674962307	5.914667023	4.961739073	5.217410765	4.535545706	5.044714162	6.638685866	5.360351734	4.547999845	4.488563209	8.698764602	4.549727837	4.544003972	4.541174073	6.322681449	8.83052992	4.517058178	6.643909431	4.571958457	4.541174073	7.939874411	8.911089121	4.460828358	4.553195913	5.870034394	6.767072252	8.120917925	5.066191724	8.26515009	5.330946747	6.233106049	4.493119669	4.497855638	4.523386462	4.937361208	6.866451016	5.230301843	6.947917971	5.100950124	4.993792953	4.519729846	4.85723458	5.47167715	6.007175475	4.605553595	4.524983788	5.054724465	5.353096403	4.929824806	4.700859122	4.50347368	5.456008185	5.600086352	5.831999354	5.803430021	5.76375459	5.249865172	4.464147013	4.775718441	6.202858456	5.204389486	5.706208199	5.36775379	7.618294599	5.778108427	5.237426232	11.91656248	5.928260332	12.06613036	5.645963732	4.50347368	10.43423541	5.002407848	11.43294978	4.524375669	4.88256445	4.544003972	4.543517978	5.066191724	4.489507766	4.867599401	4.524375669	4.519729846	4.547401353	6.288420088
