"Gene"	"AIS_vs_Normal"	"MIA_vs_Normal"	"LUAD_vs_Normal"	"MIA_vs_AIS"	"LUAD_vs_AIS"	"LUAD_vs_MIA"
"TSPAN6"	0.116244905948906	0.408433873338986	1.07449713344404	0.29218896739008	0.958252227495135	0.666063260105059
"C1orf112"	0.237872587174411	0.351676341682556	1.0307315168762	0.113803754508143	0.792858929701775	0.679055175193635
"FGR"	-1.16812316409526	-1.02187178759144	-1.42995888807937	0.146251376503823	-0.26183572398411	-0.408087100487931
"GCLC"	-0.538801931654212	-0.0990896761711428	0.697847778945346	0.439712255483069	1.23664971059956	0.796937455116494
"SEMA3F"	-1.23865934593596	-0.850914384363451	-0.872537996300887	0.38774496157251	0.36612134963507	-0.0216236119374354
"CFTR"	1.28451871930199	0.700928181994614	0.0942040266476299	-0.58359053730738	-1.19031469265437	-0.606724155346992
"AOC1"	1.57816693921232	2.2080770602895	2.98053925729429	0.629910121077186	1.40237231808197	0.772462197004785
"HECW1"	1.83215299088994	2.85367020057022	3.16625648827523	1.02151720968028	1.33410349738529	0.312586287705007
"CYP26B1"	-2.20173646118074	-1.73042965351376	-1.62350710535617	0.471306807666985	0.578229355824568	0.10692254815759
"ICA1"	0.790896078644477	0.81624332586019	1.08917767011095	0.0253472472157083	0.298281591466471	0.27293434425076
"DBNDD1"	0.256203912664528	0.732035326896899	1.61211388747378	0.475831414232372	1.35590997480925	0.880078560576883
"HSPB6"	-1.90721954342631	-1.5092328035055	-2.47050071134042	0.397986739920813	-0.56328116791411	-0.961267907834921
"PDK4"	-1.38355571443847	-1.34448941487952	-2.64897805218081	0.0390662995589606	-1.26542233774234	-1.3044886373013
"ABCB5"	-1.98885944239479	-2.13549759130119	-1.68125776882763	-0.1466381489064	0.30760167356716	0.454239822473558
"SLC4A1"	-3.08783996712905	-2.77332934380418	-3.27881041337924	0.314510623324864	-0.190970446250191	-0.505481069575056
"PRSS22"	1.47279871488138	1.3909582364165	1.6013561613432	-0.0818404784648883	0.128557446461822	0.21039792492671
"ACSM3"	1.9051008097722	1.51501290391642	1.22541015796499	-0.390087905855782	-0.679690651807211	-0.28960274595143
"PON1"	1.18317091017018	1.52515306905593	1.50082400761458	0.341982158885756	0.317653097444402	-0.024329061441356
"ABCB4"	0.65556794209822	0.759146621397299	1.11009900191427	0.10357867929908	0.454531059816042	0.350952380516962
"CRLF1"	2.81497307980487	3.91156224472626	3.30449309078077	1.09658916492138	0.489520010975891	-0.607069153945491
"YBX2"	0.0957458116690074	0.555017282108216	2.49163874133871	0.459271470439205	2.3958929296697	1.9366214592305
"TMEM132A"	-0.263082195707386	-0.00483995327237394	0.928708691818418	0.258242242435017	1.1917908875258	0.933548645090789
"TNFRSF12A"	1.12069798492408	1.11990800678479	1.59404721180341	-0.000789978139285897	0.473349226879328	0.474139205018613
"DLX6"	0.360147417117857	0.935649588589936	2.72409674616871	0.575502171472078	2.36394932905085	1.78844715757877
"MAP3K9"	1.04491591149712	0.979973723895217	1.40023588198057	-0.064942187601902	0.355319970483446	0.420262158085356
"BAIAP2L1"	0.732837223583727	0.7066794765067	1.02593422867358	-0.0261577470770231	0.293097005089852	0.319254752166871
"ALDH3B1"	-0.641627392783578	-0.434881760446932	-1.11892864572566	0.20674563233664	-0.477301252942087	-0.684046885278733
"GGCT"	1.13198338392894	0.99701188616549	1.50532276765069	-0.134971497763443	0.373339383721758	0.508310881485195
"TBXA2R"	-0.958187357744573	-0.895769189286442	-1.23435373739797	0.0624181684581285	-0.276166379653399	-0.338584548111528
"SCIN"	-0.489105765899496	-0.897217682487593	0.326218790614702	-0.408111916588098	0.815324556514201	1.2234364731023
"MYH13"	-2.6187607091712	-2.61876070917121	-1.79309088973355	-7.20770963358358e-15	0.825669819437657	0.825669819437666
"PROM1"	1.51445771566187	1.39830681387717	3.37040820428425	-0.116150901784702	1.85595048862239	1.97210139040709
"NOS2"	-1.92560997462325	-1.74384077602253	-1.72114541018628	0.181769198600719	0.204464564436983	0.0226953658362606
"GAS7"	-1.0705635230847	-0.747076138416421	-0.887357383475241	0.323487384668281	0.183206139609452	-0.140281245058821
"MATK"	-1.0534321106963	-0.875168719501443	-1.17794698395452	0.178263391194856	-0.124514873258218	-0.302778264453079
"CACNA2D2"	0.316530267720355	0.106577301264762	-1.09248907838084	-0.209952966455591	-1.4090193461012	-1.19906637964561
"NOX1"	0.0814769744207079	0.00678537184723065	2.37459071757461	-0.0746916025734687	2.29311374315391	2.36780534572738
